Node,DC,BC,CC,C,S+,S-,C
61,0.2432432432432432,0.2600051177063561,0.4868421052631579,0.9583368851167976,0.0190482603130969,0.4381489599738756,0.9583368851167976
35,0.2162162162162162,0.210353279690225,0.4567901234567901,0.8032952721589618,0.0869008231125272,0.3548822700867063,0.8032952721589618
31,0.3243243243243243,0.1876375458483301,0.4743589743589743,0.7264924502942645,0.121127622860558,0.3217399432847942,0.7264924502942645
59,0.1891891891891892,0.1167210510347765,0.4157303370786517,0.4513898546372407,0.2419189908840353,0.1990480472374897,0.4513898546372407
54,0.1891891891891892,0.1096482674914047,0.4404761904761904,0.4249426612097443,0.2536594068187576,0.1874434010375497,0.4249426612097443
4,0.1621621621621621,0.0774543266867828,0.3490566037735849,0.3023929688805776,0.3079174972219112,0.1334735488628855,0.3023929688805776
56,0.1351351351351351,0.0765515275319197,0.3854166666666667,0.2962792947400239,0.3102621817138837,0.1306260561833703,0.2962792947400239
34,0.1891891891891892,0.0690579266559658,0.3854166666666667,0.2748051339251745,0.3211776945704653,0.1217069831836188,0.2748051339251745
53,0.1351351351351351,0.0679470969912146,0.4157303370786517,0.2642168149592389,0.3245217712368848,0.1165344771726339,0.2642168149592389
110,0.1351351351351351,0.0616885055223548,0.4021739130434782,0.2409929109554353,0.3349017785091353,0.1063349152491646,0.2409929109554353
32,0.1081081081081081,0.0611016027682694,0.3978494623655914,0.2360062926498628,0.3367745303631718,0.1040334594450852,0.2360062926498628
78,0.1081081081081081,0.0608248340446482,0.3557692307692308,0.2349680664775326,0.3372330749981452,0.1035760732493134,0.2349680664775326
25,0.1621621621621621,0.0556794685471156,0.4111111111111111,0.222470685734972,0.3441124361682532,0.0984592197872923,0.222470685734972
24,0.1351351351351351,0.0547399380861713,0.3775510204081632,0.2153518130392614,0.3464330116256123,0.0950807997647997,0.2153518130392614
5,0.081081081081081,0.0544443940277273,0.3814432989690721,0.2087434871961996,0.3487779182233425,0.0920120311540793,0.2087434871961996
43,0.1081081081081081,0.0469819798767167,0.3814432989690721,0.1834526957388973,0.3601551415053875,0.0809156202569007,0.1834526957388973
82,0.1621621621621621,0.0401448286252207,0.3425925925925926,0.1672757561714163,0.3699662569054198,0.0743179820215513,0.1672757561714163
84,0.081081081081081,0.0390608234003486,0.3627450980392157,0.1510967402415122,0.3742026960416675,0.066604535807257,0.1510967402415122
114,0.1621621621621621,0.0321645821645821,0.3425925925925926,0.1402160238354402,0.3832548771547132,0.0625022988098683,0.1402160238354402
44,0.081081081081081,0.0315290417264101,0.3333333333333333,0.1231012473852904,0.3866666140849367,0.0542812295879915,0.1231012473852904
83,0.1081081081081081,0.0232279935066312,0.37,0.0977745295048347,0.399556154698059,0.0433000578169479,0.0977745295048347
115,0.1081081081081081,0.0222975557147383,0.3627450980392157,0.0945955763724197,0.4011010084761471,0.0419065558884068,0.0945955763724197
62,0.081081081081081,0.0215847163151084,0.3457943925233644,0.0867602565508857,0.4031357363029342,0.0382989901144415,0.0867602565508857
63,0.1081081081081081,0.0179042699876033,0.3303571428571428,0.079998860926096,0.4083967329619917,0.0355122097737684,0.079998860926096
64,0.081081081081081,0.0195699461630834,0.3775510204081632,0.0795709259390845,0.4064738259632749,0.0351395882783245,0.0795709259390845
60,0.081081081081081,0.0187076499576499,0.3627450980392157,0.0765140317476762,0.4079030175506897,0.0337961869565936,0.0765140317476762
40,0.081081081081081,0.0182500485067564,0.3490566037735849,0.0748982208169831,0.4086615896574424,0.033086117301183,0.0748982208169831
55,0.1081081081081081,0.015294509044509,0.3978494623655914,0.0717899774438589,0.4127304726846081,0.0319215593501406,0.0717899774438589
33,0.081081081081081,0.0079017567988156,0.3109243697478991,0.0412876812853087,0.4258196526355441,0.0183382499211103,0.0412876812853087
103,0.081081081081081,0.0067707799905942,0.3490566037735849,0.0382937805345008,0.4276950092162861,0.0170302099405496,0.0382937805345008
30,0.081081081081081,0.006672148338815,0.3592233009708738,0.0380483380691495,0.4278584823557018,0.0169232039682189,0.0380483380691495
41,0.081081081081081,0.0037287287287287,0.2846153846153846,0.0316641446048244,0.4327426948461237,0.0141504904418696,0.0316641446048244
36,0.081081081081081,0.0022105438772105,0.3814432989690721,0.0295432732770195,0.4352602077748519,0.0132504736283572,0.0295432732770195
68,0.054054054054054,0.001542614042614,0.3008130081300813,0.0154453771224339,0.4372464757589843,0.0068593824625132,0.0154453771224339
109,0.027027027027027,0.0,0.2868217054263566,0.0003893896130791,0.4407629694833646,0.0001716953785437,0.0003893896130791
77,0.027027027027027,0.0,0.2803030303030303,0.0002927511748165,0.4407630980213333,0.0001290717006535,0.0002927511748165
67,0.027027027027027,0.0,0.2642857142857143,5.521758225570575e-05,0.4407634313644185,2.4339234980381465e-05,5.521758225570575e-05
3,0.027027027027027,0.0,0.2605633802816901,0.0,0.4407635123951471,0.0,0.0
