Node,w_Node,DC,BC,CC,EC,C
1,1,0.4848484848484848,0.4376352813852814,0.5689655172413793,0.3554834941851942,0.9550836781904409
34,34,0.5151515151515151,0.3040749759499759,0.55,0.3733712130132349,0.8773866138385964
3,3,0.303030303030303,0.1436568061568061,0.559322033898305,0.3171893899684447,0.692723761958205
33,33,0.3636363636363636,0.145247113997114,0.515625,0.3086510477336959,0.6858479628980095
2,2,0.2727272727272727,0.0539366883116883,0.4852941176470588,0.2659538704545023,0.5623546674869253
9,9,0.1515151515151515,0.0559268278018278,0.515625,0.2274050914716605,0.49201482758582127
14,14,0.1515151515151515,0.0458633958633958,0.515625,0.2264696983880814,0.486959980746242
32,32,0.1818181818181818,0.1382756132756132,0.5409836065573771,0.191036269797917,0.4686350561753681
4,4,0.1818181818181818,0.0119092712842712,0.4647887323943662,0.2111740783205705,0.4425926340955773
31,31,0.1212121212121212,0.0144119769119769,0.4583333333333333,0.1747602783449308,0.3700137394257189
8,8,0.1212121212121212,0.0,0.44,0.1709551149803543,0.35487669970780883
20,20,0.0909090909090909,0.0324750481000481,0.5,0.1479113400761866,0.33594999386879554
24,24,0.1515151515151515,0.0176136363636363,0.3928571428571428,0.1501232869172678,0.3097095076205223
28,28,0.1212121212121212,0.0223334535834535,0.4583333333333333,0.133479326843333,0.2958835864521526
29,29,0.0909090909090909,0.001794733044733,0.4520547945205479,0.1310792562722121,0.28258466655532455
30,30,0.1212121212121212,0.0029220779220779,0.3837209302325581,0.1349652867386656,0.27122682099666395
10,10,0.0606060606060606,0.0008477633477633,0.4342105263157895,0.1026751903063775,0.22167839585368337
19,19,0.0606060606060606,0.0,0.3707865168539326,0.1014062784627083,0.194153099426159
16,16,0.0606060606060606,0.0,0.3707865168539326,0.1014062784627083,0.194153099426159
15,15,0.0606060606060606,0.0,0.3707865168539326,0.1014062784627083,0.194153099426159
21,21,0.0606060606060606,0.0,0.3707865168539326,0.1014062784627083,0.194153099426159
23,23,0.0606060606060606,0.0,0.3707865168539326,0.1014062784627083,0.194153099426159
18,18,0.0606060606060606,0.0,0.375,0.0923967566684595,0.1776773610921709
22,22,0.0606060606060606,0.0,0.375,0.0923967566684595,0.1776773610921709
7,7,0.1212121212121212,0.0299873737373737,0.3837209302325581,0.0794805778859424,0.1680873266660413
6,6,0.1212121212121212,0.0299873737373737,0.3837209302325581,0.0794805778859424,0.1680873266660413
13,13,0.0606060606060606,0.0,0.3707865168539326,0.0842519208655808,0.16004945500511644
11,11,0.0909090909090909,0.0006313131313131,0.3793103448275862,0.0759664588165738,0.15108268594449661
5,5,0.0909090909090909,0.0006313131313131,0.3793103448275862,0.0759664588165738,0.15108268594449661
27,27,0.0606060606060606,0.0,0.3626373626373626,0.0755819221900932,0.13979899645031463
26,26,0.0909090909090909,0.0038404882154882,0.375,0.05920820250279,0.12033776448059136
25,25,0.0909090909090909,0.0022095959595959,0.375,0.057053735638028,0.11684830356134625
12,12,0.0303030303030303,0.0,0.3666666666666666,0.0528541694523364,0.09980810178794791
17,17,0.0606060606060606,0.0,0.2844827586206896,0.0236347942605968,0.01663603667209712
