S+,S-,C
0.007710129873217107,0.16394528541005868,0.9550836781904409
0.022554232076609525,0.16139168755503647,0.8773866138385964
0.05772612044299766,0.1301378055503487,0.692723761958205
0.05781540431774623,0.1262209777190708,0.6858479628980095
0.08169517331021138,0.1049746418140496,0.5623546674869253
0.09353984910839654,0.0905990868055244,0.49201482758582127
0.09492920925225665,0.09010354782259274,0.486959980746242
0.09406118140070978,0.08295685957820942,0.4686350561753681
0.10274869721107113,0.08158452745731118,0.4425926340955773
0.11415286264781949,0.06704610912620039,0.3700137394257189
0.1171883775496868,0.06446430418822205,0.35487669970780883
0.12028254392874081,0.06085222426366415,0.33594999386879554
0.1220023207302247,0.054738228469105144,0.3097095076205223
0.12546361640375558,0.05272228295850927,0.2958835864521526
0.12913040070099785,0.05086352287598677,0.28258466655532455
0.12901670772425938,0.048016025424210115,0.27122682099666395
0.1392174021462452,0.03965133463890734,0.22167839585368337
0.14157687362016272,0.034110187432434595,0.194153099426159
0.14157687362016272,0.034110187432434595,0.194153099426159
0.14157687362016272,0.034110187432434595,0.194153099426159
0.14157687362016272,0.034110187432434595,0.194153099426159
0.14157687362016272,0.034110187432434595,0.194153099426159
0.14422028394272507,0.031161345017742054,0.1776773610921709
0.14422028394272507,0.031161345017742054,0.1776773610921709
0.14398689841204157,0.02909244396052043,0.1680873266660413
0.14398689841204157,0.02909244396052043,0.1680873266660413
0.14691500079556774,0.027994107450159574,0.16004945500511644
0.14840348400652317,0.026411520410762567,0.15108268594449661
0.14840348400652317,0.026411520410762567,0.15108268594449661
0.14993719511060102,0.02436764119146523,0.13979899645031463
0.15370997949100987,0.021027520067840356,0.12033776448059136
0.15454384389220155,0.020447433954408588,0.11684830356134625
0.1579364510247287,0.017511085593207715,0.09980810178794791
0.16979039160632622,0.002872424948107131,0.01663603667209712
