Node,DC,BC,CC,C
101,0.08108108108108109,0.38492599742599737,0.31092436974789917,0.8976528316344142
51,0.08108108108108109,0.3490990990990991,0.26618705035971224,0.8604143318685018
17,0.16216216216216217,0.3240109156775824,0.34579439252336447,0.8376025820846809
98,0.1891891891891892,0.2554912054912054,0.33636363636363636,0.6678857233196759
39,0.16216216216216217,0.2545045045045045,0.19786096256684493,0.6624009022830435
97,0.21621621621621623,0.23533950617283947,0.3557692307692308,0.6192348919572509
77,0.13513513513513514,0.16788574288574293,0.2890625,0.43965073594257
86,0.13513513513513514,0.1392428142428143,0.33035714285714285,0.36762767499110316
52,0.05405405405405406,0.13513513513513514,0.22699386503067484,0.3466027564535968
46,0.05405405405405406,0.13513513513513514,0.22699386503067484,0.3466027564535968
100,0.08108108108108109,0.12343295676629007,0.30578512396694213,0.3198775846062955
90,0.10810810810810811,0.11143643643643641,0.27611940298507465,0.2934709828545065
94,0.21621621621621623,0.07306592306592306,0.3217391304347826,0.23453826544618236
96,0.1891891891891892,0.07436364936364935,0.2868217054263566,0.22690305844812395
57,0.13513513513513514,0.06989429906096573,0.30578512396694213,0.19848025305002698
18,0.1891891891891892,0.047168001334668,0.3135593220338983,0.17324209820912154
56,0.05405405405405406,0.05405405405405406,0.22839506172839505,0.14053033502796594
80,0.05405405405405406,0.05405405405405406,0.22023809523809523,0.1405216934362639
42,0.05405405405405406,0.05405405405405406,0.167420814479638,0.14048552978116396
16,0.13513513513513514,0.030788526621859966,0.3217391304347826,0.1165025091612894
9,0.10810810810810811,0.037463654130320795,0.29133858267716534,0.11611852064175691
24,0.13513513513513514,0.0298048048048048,0.3008130081300813,0.11475839542632582
21,0.13513513513513514,0.02719386052719386,0.3135593220338983,0.11044703035046158
22,0.10810810810810811,0.013638638638638637,0.29365079365079366,0.07397913070129203
104,0.05405405405405406,0.01666905000238333,0.27205882352941174,0.04853996671144405
95,0.08108108108108109,0.0026693360026693366,0.2824427480916031,0.04455055713447897
91,0.08108108108108109,0.0026693360026693366,0.2824427480916031,0.04455055713447897
11,0.05405405405405406,0.011023523523523523,0.2569444444444444,0.036335166933420614
85,0.05405405405405406,0.007757757757757758,0.2534246575342466,0.030250142528572527
99,0.05405405405405406,0.00025025025025025025,0.25517241379310346,0.022672111693556568
114,0.02702702702702703,0.0,0.25874125874125875,0.005189385116183076
38,0.02702702702702703,0.0,0.22560975609756098,0.0036968676020258827
40,0.02702702702702703,0.0,0.18686868686868688,0.00194598268860281
79,0.02702702702702703,0.0,0.18137254901960784,0.001697091648221218
53,0.02702702702702703,0.0,0.16591928251121077,0.0009966340904217347
45,0.02702702702702703,0.0,0.16591928251121077,0.0009966340904217347
10,0.02702702702702703,0.0,0.16591928251121077,0.0009966340904217347
103,0.02702702702702703,0.0,0.14396887159533073,0.0
