Node,DC,BC,CC,C
87,0.14814814814814814,0.3650488400488402,0.36486486486486486,0.9727430217551197
84,0.18518518518518517,0.3224189390856057,0.375,0.8840527534541841
100,0.18518518518518517,0.24155021932799703,0.3375,0.6648816208865419
111,0.1111111111111111,0.21870506037172704,0.3375,0.5978369517166191
112,0.18518518518518517,0.1457168859946638,0.3103448275862069,0.4083843759597006
12,0.07407407407407407,0.14245014245014245,0.28125,0.38859261656265776
109,0.14814814814814814,0.12881336770225663,0.3068181818181818,0.35904165776322994
3,0.1111111111111111,0.11822005155338487,0.28125,0.3263638197547228
20,0.18518518518518517,0.11086634558856781,0.29347826086956524,0.31748061335026506
96,0.1111111111111111,0.1060880477547144,0.27,0.29377859887751384
94,0.1111111111111111,0.10390720390720393,0.29347826086956524,0.2879459739054359
19,0.07407407407407407,0.09818206484873152,0.2647058823529412,0.2687362786514122
85,0.07407407407407407,0.09811762311762313,0.3253012048192771,0.2685987740943676
99,0.1111111111111111,0.09256206756206757,0.30337078651685395,0.2576255985424507
95,0.14814814814814814,0.08906977795866684,0.28125,0.2544477267079597
93,0.1111111111111111,0.0888809749920861,0.27,0.24779830405859335
86,0.1111111111111111,0.08290937457604124,0.32926829268292684,0.23197555709250542
75,0.1111111111111111,0.07912087912087912,0.27,0.22189789724106765
13,0.07407407407407407,0.07407407407407408,0.225,0.20355418199233277
14,0.1111111111111111,0.06888538416316194,0.29347826086956524,0.19496813235232907
72,0.1111111111111111,0.03935128657350879,0.3068181818181818,0.11982008037328441
71,0.07407407407407407,0.013356396689730026,0.23275862068965517,0.04558394078175548
113,0.07407407407407407,0.013049450549450548,0.25961538461538464,0.044985815285931645
76,0.07407407407407407,0.007658390991724325,0.21774193548387097,0.034497003430360995
108,0.037037037037037035,0.0,0.23893805309734514,0.002317513854600232
15,0.037037037037037035,0.0,0.2288135593220339,0.0018838678967929552
21,0.037037037037037035,0.0,0.21428571428571427,0.0012609649937776336
2,0.037037037037037035,0.0,0.18493150684931506,0.0
