S+,S-,C
0.00010972125437172346,0.41515529838829274,0.9997357801664438
0.0685064089110383,0.3515155873047178,0.8368980445589614
0.09356334259447728,0.3219665564030711,0.7748336694418485
0.12297122214654069,0.29262322618217895,0.7041076399334502
0.23680360008123555,0.18192875618386306,0.43447503748357175
0.24199853775335495,0.1733271484949472,0.4173282660666543
0.27868329888183313,0.13926769892841984,0.3332153761040821
0.28432071847799073,0.13084572500950561,0.31516450103811516
0.29366267331119994,0.1215409918898397,0.29272620180505904
0.3152717693751145,0.10187567966696233,0.24421983138313844
0.3219358516228258,0.09359311631398724,0.22523848765272936
0.33244411573577315,0.0827492671905667,0.19930295277670018
0.3365592900050341,0.07933723411330114,0.1907619552279001
0.3591805135722938,0.05603571587523589,0.1349555048698236
0.3670484283258342,0.048259938854818704,0.11620266449827234
0.3723357443700521,0.04307141745224298,0.10368482156951421
0.3984179296721658,0.018873691334816325,0.0452290206289585
0.40797823177535547,0.012449840636235767,0.02961229625991198
0.4094441364621166,0.011923284922916425,0.028296646389330802
0.4094441364621166,0.011923284922916425,0.028296646389330802
0.4094441364621166,0.011923284922916425,0.028296646389330802
0.41515284847663975,0.0004610987591614508,0.0011094400518273356
0.4151552242248013,0.00011976591147050625,0.0002884014552169522
0.4151556779954493,5.881361723998049e-05,0.0001416463500865515
0.4151561243272447,0.0,0.0
