Node,DC,BC,CC,C
46,0.30000000000000004,0.37777777777777777,0.3368421052631579,0.9958774871606552
47,0.2,0.35555555555555557,0.35555555555555557,0.9316105742710846
74,0.2,0.33333333333333337,0.3368421052631579,0.8776995582763151
58,0.2,0.26666666666666666,0.29090909090909095,0.7046955598096771
12,0.2,0.15555555555555556,0.26666666666666666,0.413081334272024
69,0.2,0.15555555555555556,0.23703703703703705,0.41266297299277666
70,0.1,0.0,0.24615384615384617,0.03135078262159872
57,0.1,0.0,0.2064516129032258,0.023024917175950767
75,0.1,0.0,0.18823529411764706,0.01915766361938729
51,0.1,0.0,0.1,0.0
50,0.1,0.0,0.1,0.0
