Node,DC,BC,CC,C
73,0.29166666666666663,0.41644237405106965,0.4067796610169492,0.9997357801664438
89,0.16666666666666666,0.3556331953071084,0.41379310344827586,0.8368980445589614
70,0.20833333333333331,0.32407694962042777,0.39344262295081966,0.7748336694418485
78,0.25,0.29197722567287787,0.35294117647058826,0.7041076399334502
88,0.25,0.17603519668737055,0.36363636363636365,0.43447503748357175
71,0.125,0.17468081435472738,0.3870967741935484,0.4173282660666543
72,0.20833333333333331,0.13410973084886127,0.34782608695652173,0.3332153761040821
16,0.125,0.1310386473429951,0.3116883116883117,0.31516450103811516
8,0.125,0.1214285714285714,0.32,0.29272620180505904
87,0.16666666666666666,0.09782608695652174,0.26373626373626374,0.24421983138313844
74,0.125,0.0923913043478261,0.27586206896551724,0.22523848765272936
29,0.08333333333333333,0.08333333333333333,0.2696629213483146,0.19930295277670018
15,0.125,0.0773895790200138,0.2891566265060241,0.1907619552279001
91,0.08333333333333333,0.05579710144927536,0.3076923076923077,0.1349555048698236
90,0.08333333333333333,0.04770531400966184,0.3037974683544304,0.11620266449827234
102,0.08333333333333333,0.042270531400966184,0.2926829268292683,0.10368482156951421
22,0.08333333333333333,0.015484817115251895,0.25,0.0452290206289585
23,0.08333333333333333,0.0056763285024154595,0.23076923076923078,0.02961229625991198
79,0.08333333333333333,0.0041666666666666675,0.2926829268292683,0.028296646389330802
81,0.08333333333333333,0.0041666666666666675,0.2926829268292683,0.028296646389330802
92,0.08333333333333333,0.0041666666666666675,0.2926829268292683,0.028296646389330802
105,0.041666666666666664,0.0,0.24,0.0011094400518273356
7,0.041666666666666664,0.0,0.21818181818181817,0.0002884014552169522
28,0.041666666666666664,0.0,0.21428571428571427,0.0001416463500865515
106,0.041666666666666664,0.0,0.21052631578947367,0.0
