Node,w_Node,DC,BC,CC,EC
0,0,0.0859336305101535,0.1463059214744291,0.3533426671333566,3.391796172270201e-05
1,1,0.004210004952947,2.7832744209034606e-06,0.2613761408505405,6.045346134948108e-07
2,2,0.0024764735017335,7.595021178512074e-08,0.2612577639751552,2.233460937191197e-07
3,3,0.004210004952947,1.6850656559280464e-06,0.2613761408505405,6.635648083921052e-07
4,4,0.0024764735017335,1.8403320547933107e-07,0.2612577639751552,2.2364157028893605e-07
5,5,0.0032194155522535,2.205964164092193e-06,0.2613084837895554,1.1833221118435218e-06
6,6,0.0014858841010401,2.4537760730577472e-08,0.2611901681759379,2.1709041695161266e-07
7,7,0.004952947003467,0.000170298483673,0.2747686445291236,2.568510124822489e-05
8,8,0.0019811788013868,2.7604980821899654e-07,0.2612239617026782,2.1973746334830285e-07
9,9,0.0141158989598811,1.6454236303026905e-05,0.2620546433902265,2.214116624486093e-06
10,10,0.0024764735017335,4.986739552037655e-08,0.2612577639751552,7.708567044092624e-07
11,11,0.0002476473501733,0.0,0.261105722599418,2.1031233303459666e-07
12,12,0.0002476473501733,0.0,0.261105722599418,2.1031233303459666e-07
13,13,0.0076770678553739,1.7622717578436846e-06,0.2616132167152575,1.103790547598573e-06
14,14,0.0037147102526002,5.582871686568508e-07,0.2613423079412336,2.3055679294325333e-07
15,15,0.0002476473501733,0.0,0.261105722599418,2.1031233303459666e-07
16,16,0.0022288261515601,1.9979459275532697e-07,0.2612408617454875,2.6165135921174614e-07
17,17,0.0032194155522535,4.106666900048034e-07,0.2613084837895554,2.2774170298520147e-07
18,18,0.0002476473501733,0.0,0.261105722599418,2.1031233303459666e-07
19,19,0.0039623576027736,5.062957964075819e-06,0.2613592233009709,2.3149092118602842e-07
20,20,0.0037147102526002,6.793693332142838e-07,0.2613423079412336,2.303887574112189e-07
21,21,0.0160970777612679,0.0009380243844653,0.2756125861715924,2.5965755464539667e-05
22,22,0.0027241208519068,6.703002200833232e-07,0.2612746683921061,1.0365420550578182e-06
23,23,0.004210004952947,6.860348937590618e-06,0.2613761408505405,2.327855955467465e-07
24,24,0.0039623576027736,1.3673472422981514e-07,0.2613592233009709,2.4875636881516775e-07
25,25,0.0170876671619613,5.38808313945586e-05,0.2622588816003117,2.092047740990878e-06
26,26,0.016840019811788,1.935436798204632e-05,0.2622418495908559,2.333621078244131e-06
27,27,0.0012382367508667,3.0672200913221845e-08,0.2611732746911584,3.850049336881095e-07
28,28,0.0032194155522535,3.812160659244892e-07,0.2613084837895554,2.276328150659143e-07
29,29,0.0032194155522535,1.3954817951917517e-06,0.2613084837895554,2.927663311548733e-07
30,30,0.004210004952947,1.3694627409316544e-06,0.2613761408505405,9.62912044010581e-07
31,31,0.0056958890539871,4.932641252790837e-06,0.2614776921582594,1.4530295555049825e-06
32,32,0.0014858841010401,0.0,0.2611901681759379,2.172656002138456e-07
33,33,0.0004952947003467,0.0,0.2611226073460941,2.116271213063483e-07
34,34,0.0012382367508667,0.0036020881281963,0.3033125516412529,4.074184547679874e-06
35,35,0.0004952947003467,0.0,0.2611226073460941,2.1171402853040497e-07
36,36,0.0027241208519068,2.7264178589530523e-08,0.2612746683921061,2.356058109794917e-07
37,37,0.0002476473501733,0.0,0.261105722599418,2.1031233303459666e-07
38,38,0.0022288261515601,7.344481172858835e-07,0.2612408617454875,7.219113580673047e-07
39,39,0.0037147102526002,9.548632622274015e-07,0.2613423079412336,4.869308388829613e-07
40,40,0.0108964834076275,1.3796059569123122e-05,0.2618337440020749,1.7851968170490274e-06
41,41,0.0059435364041604,4.673274954378314e-06,0.2614946250485688,2.430097031380907e-07
42,42,0.0004952947003467,0.0,0.2611226073460941,2.116271213063483e-07
43,43,0.0002476473501733,0.0,0.261105722599418,2.1031233303459666e-07
44,44,0.0014858841010401,0.0,0.2611901681759379,2.176613170884422e-07
45,45,0.0029717682020802,3.0243457405507097e-07,0.2612915749967646,7.728864856656585e-07
46,46,0.0012382367508667,0.0,0.2611732746911584,2.1603795141193677e-07
47,47,0.0004952947003467,0.0,0.2611226073460941,2.1257645405396602e-07
48,48,0.0054482417038137,5.29085361854899e-06,0.2614607614607614,4.831348837967412e-07
49,49,0.0009905894006934,1.8403320547933107e-07,0.2611563833915405,2.142826348170951e-07
50,50,0.0027241208519068,5.135467952242277e-07,0.2612746683921061,4.46282343059978e-07
51,51,0.0017335314512134,9.201660273966553e-08,0.2612070638463031,2.3934747731679905e-07
52,52,0.0004952947003467,0.0,0.2611226073460941,2.116528515949573e-07
53,53,0.0076770678553739,1.0849233385514972e-05,0.2616132167152575,9.3154261174055e-07
54,54,0.0019811788013868,3.6120168027808397e-07,0.2612239617026782,2.53812619550048e-07
55,55,0.004210004952947,1.8160988132495761e-07,0.2613761408505405,9.982470311456912e-07
56,56,0.0193164933135215,0.0010850657064421,0.2758573575625085,2.636637974139532e-05
57,57,0.0037147102526002,1.535902715224302e-06,0.2613423079412336,4.21144852579559e-07
58,58,0.0029717682020802,0.0843602059079648,0.3974018305284913,0.0005898120154985
59,59,0.0047052996532937,7.274796871349583e-07,0.2614099825208778,5.185075583635661e-07
60,60,0.0019811788013868,7.546141619678459e-08,0.2612239617026782,7.389823247074878e-07
61,61,0.00074294205052,6.134440182644369e-08,0.2611394942766604,2.1309924189850118e-07
62,62,0.0064388311045071,2.8660815656610625e-06,0.2615284974093264,1.0480310720344277e-06
63,63,0.0014858841010401,0.0,0.2611901681759379,4.123650334848587e-07
64,64,0.0017335314512134,1.2821395685548784e-05,0.2790408403012922,2.713065606170404e-07
65,65,0.0029717682020802,6.893923913652614e-07,0.2612915749967646,6.051887725449037e-07
66,66,0.0037147102526002,9.542251505382869e-08,0.2613423079412336,1.2731710213783302e-06
67,67,0.0188211986131748,0.0009118520705882,0.2758196721311475,2.667402808693757e-05
68,68,0.0022288261515601,1.4722656438346484e-07,0.2612408617454875,2.215965528432378e-07
69,69,0.0024764735017335,1.9840927984607338e-07,0.2612577639751552,6.001155179628284e-07
70,70,0.0004952947003467,0.0,0.2611226073460941,2.1168797016997866e-07
