Node,w_Node,DC,BC,CC,EC,C
65,65,0.0964912280701754,0.0335329567266294,0.4222222222222222,0.1009153462732208,0.9766148591597119
1,1,0.1052631578947368,0.0324899491838948,0.4237918215613382,0.1065032293978511,0.9611932894958306
107,107,0.0964912280701754,0.0291610532642237,0.4351145038167939,0.0904148048890364,0.8536597348794805
42,42,0.087719298245614,0.0288228234207709,0.4367816091954023,0.079145585912568,0.8407439032483778
75,75,0.0964912280701754,0.0251868019708688,0.4042553191489361,0.0804886089682533,0.7244519786464941
47,47,0.0964912280701754,0.0241394197764492,0.4222222222222222,0.0892730487573631,0.691312946131597
81,81,0.0964912280701754,0.0238363549391006,0.4237918215613382,0.0899213142899935,0.6815120765581261
25,25,0.1052631578947368,0.0230700988568456,0.4206642066420664,0.1062495448644557,0.6576655004843607
84,84,0.0964912280701754,0.023046321730608,0.4028268551236749,0.0812151067976742,0.6551218134192932
5,5,0.0964912280701754,0.0222134474275601,0.4237918215613382,0.1037909894144991,0.6295898267040363
59,59,0.0964912280701754,0.0221268071764148,0.397212543554007,0.1099687692352205,0.6271077929837374
29,29,0.1052631578947368,0.020895265847707,0.4237918215613382,0.116302876375951,0.5873151075091
93,93,0.0964912280701754,0.020755436736059,0.4042553191489361,0.0826281751157894,0.5807197202053553
68,68,0.087719298245614,0.0207002246315868,0.4237918215613382,0.080319304432045,0.5787487515762395
36,36,0.0964912280701754,0.0204981599328754,0.4269662921348314,0.1050279388059103,0.5737541435836894
32,32,0.0964912280701754,0.0203651179711285,0.4175824175824176,0.1064504138376003,0.5695004409662481
115,115,0.1052631578947368,0.0200794894120263,0.430188679245283,0.1212887562107521,0.5610174787152445
26,26,0.1052631578947368,0.0196812843689588,0.4253731343283582,0.1128557163575336,0.547601828619808
13,13,0.1052631578947368,0.0188194144990058,0.4222222222222222,0.1137034779266684,0.5196020359898823
20,20,0.087719298245614,0.0182873378103895,0.4042553191489361,0.0817152211954475,0.5002564014912861
106,106,0.0789473684210526,0.0182862082127989,0.4191176470588235,0.0620194911898824,0.4989665853173551
46,46,0.0789473684210526,0.0181720582735932,0.4086021505376344,0.0701104990950927,0.49575848835610925
111,111,0.0964912280701754,0.0177894511765102,0.4100719424460431,0.092508389534374,0.48472791516152036
14,14,0.0964912280701754,0.0177832724286933,0.4130434782608695,0.0933786526476818,0.484581987500238
2,2,0.1052631578947368,0.0176211126800952,0.4130434782608695,0.0963854291176984,0.47950679724933987
27,27,0.0964912280701754,0.0172913634299546,0.4206642066420664,0.105994934407306,0.4693863072314244
19,19,0.0964912280701754,0.0171572865369133,0.4042553191489361,0.0914716566711242,0.46406554994713406
39,39,0.087719298245614,0.0170033699866797,0.3986013986013986,0.07091526556639,0.4577601833418515
104,104,0.1052631578947368,0.0165608906571736,0.4115523465703971,0.1225766153957417,0.44686231233467866
71,71,0.0964912280701754,0.0166019966039093,0.4115523465703971,0.0817893195580221,0.4453566850253451
108,108,0.0964912280701754,0.0165394829367426,0.4160583941605839,0.0878368180163289,0.4437035099184779
33,33,0.0964912280701754,0.0162951786686761,0.4100719424460431,0.1009929002578483,0.4366350783764053
45,45,0.087719298245614,0.0159273538482918,0.4014084507042254,0.0903238086056454,0.42391080631503697
